rank,address,liquid,staked,market,total
150,terra1y5mneh2gamuztzza42pdd89u47sdx9kqdy022l,2,1,0,2
151,terra1p80uzwf6eufc3hxcv4k8354dtkwkx05wk2zfsl,0,0,0,2
152,terra17scjzhn9s2pv867j4hple2l367h8ggcvw53ewr,0,0,0,2
153,terra1ejdne6l4tmfg5s6z2yhnk6juqnjkvdf2wj8g6f,0,0,0,2
154,terra1k299wgf4w88j85kvv9x7e4ws0d240c44hy9tzy,2,1,0,2
155,terra1yknmtn62y07fug7rct0f6xyd4lfrsesh2n5slg,2,0,0,2
156,terra1aewzxqges8n8p5f0u0sve4w6gktlnkkjjkre43,2,2,0,2
157,terra13lr8wg5dhus8l67qjrq3qa3ruhl49dnct4anrc,2,2,0,2
158,terra1k0p5flc2ltw38xtc8xkq3ylum4g4s77ny38ne5,1,0,0,2
159,terra1dv982f7wm7czfjva6x4v02naj56qs9efcyd0ez,1,0,0,2
160,terra1yqv0af22675wlcmgflxk4ve07vt8qlm999gk0cuw5l64r5xxgadsyg8ywv,2,0,0,2
161,terra1ptezg6qlfzy85kctl2gtdsd4nqkpswsr58mtv8,2,2,0,2
162,terra1hppefqufuetxkyzhvrmw5p27kh3myyzrac6tn3,0,0,0,2
163,terra1jyz6r7ky2lrpcyucey3j65aapf3h9ynfhag2sh,2,2,0,2
164,terra15xwsmwc0elma7g45pmy7gy87u72cp8nmf8sny7,2,2,0,2
165,terra13n7are9cagecn90rdqwddzkp5wjdz4z8axajl7,2,0,0,2
166,terra1ywrk2thvg2t2mhzztenvt0c6whw5rd7dfdu39t,2,2,0,2
167,terra1ywtax43dz4l7jlpts49fj7g8nrwyrj022jgzmj,0,0,0,2
168,terra1rswkqrpnha7ttr7svj52ylw2j5kcyw9hrhz4vr,0,0,0,2
169,terra180zkrg7grjp6ffxqljsx3xnagg3fzem8ydccza,0,0,0,2
170,terra1rnwr9zjgf6204lyk37w0l6hhtaptke5m2cfpmf,2,0,0,2
171,terra1qashcgk5cqgljag0pqad0qnzdwkgxn8ue5dlh2,2,0,0,2
172,terra1hufqtn9hh9ckasktyvfqzjmevzg0q972svdema,2,0,0,2
173,terra1jt40yaa0yw9zcdk5wsnhwuyjcf5kwsjrn830kc,0,0,0,2
174,terra1reu8s0ls22zmrfdrdstlcn0av6fz87jkp8rgue,2,0,0,2
175,terra1dzvlltcs6fg9hldtnykgm7fre4j8j5z6w5wrjd,0,0,0,2
176,terra10c6l9mm0vzjgh885yx5geks6azfulj3y7pyrml,1,1,0,2
177,terra1zaq3ghh7fmggw8sjsfscmhha7rnrq5cndsmwpp,2,2,0,2
178,terra1as8j8qhexvsc3sy0gxrfajuuggwar45chfhqwn,2,0,0,2
179,terra1ltgupfjzamh6zunm9v7mlyluv89k3hppqjh26t,2,0,0,2
180,terra1cn70sru5ut70rgr8trq9q7kjqtkcuefsgfzg36,2,2,0,2
181,terra1fcm6mzxls0j59gfvt2d8xeea38fsq02n8stnnf,2,2,0,2
182,terra106gxl63etf3rywcregwaa69l5ml0ck5ugjrgmg,0,0,0,2
183,terra1v6890jqg9yfnxn5kldy9s4mzt48y47xpucpjys,2,2,0,2
184,terra10w4r9qgtslmk956nshl8f99srwkrpavhd6n6vq,2,2,0,2
185,terra19kpj7twpc96kgghgrqw3u2x8en6s8q7ngr3ty6,1,0,0,2
186,terra1f9g3dywpf9ypdhh4xd4mnt3m36e2405m9fn44u,2,0,0,2
187,terra146mtjp6q5vcfwg4n5tdmc7yap5q83m2ru7ylxx,2,0,0,2
188,terra195qt5zc8znz6vgpsj239kgpd09cere4h8mdj9q,2,2,0,2
189,terra1m9f0kqmuakcr2ww8a0xeeuuz8z4qenwdrqzfa8,0,0,0,2
190,terra15heeg7rt6j5kywqx49r2yfez5crjggj78y6yx0,0,0,0,2
191,terra19pl6u08wzdxzxw8y8r2mwj5qd58zgrxhtxg7aq,0,0,0,2
192,terra10lznz809q80re8fm9qa7cazu8crl4f76v3ccs8,2,0,0,2
193,terra1g6054czmwvle0rahwazkdpmtllyfyhnvjr94hn,2,2,0,2
194,terra1g655nxkfvgaayk0yw99zykgeezvyd2w5n4khyr,2,0,0,2
195,terra1vwlde6e8yxms34p4km73u89emfda0kxdtjjuq2,2,2,0,2
196,terra1vwpm2gzztvt847hh669w8w2mlvwmjdq2dzwpry,2,2,0,2
197,terra1zla8ld2ewhenmyf5l0f0guxq00z3653mqumcgr,2,2,0,2
198,terra1l69w6prvxdnapgxgcl4qnq9stuvwkqhxswqzuf,1,0,0,2
199,terra1d0zzmhwgs79u7fr98sgnmp7f9t2x2wj6mmnu2s,2,2,0,2
200,terra155ngmxg2us7pnq2n0mf3pc59a89hplnpyhqywk,2,0,0,2
201,terra1mu7mx7j09halwdtrjn4065mdwclhzv074nazsx,1,0,0,2
202,terra142qcgrmqk3x8nh49de76w66lynmrapqjlxvpm8,2,0,0,2
203,terra1mupt2dd70d7esxyt3k7xxgtglz36uv46zlu74d,2,2,0,2
204,terra1wcu4z49ma9mfs57t5h2nvdjvs6jqdls2fq3y5x,0,0,0,2
205,terra1wfvxvzhkn4lgphser75h6ljmcw8kdw6vel4970,0,0,0,2
206,terra1u53z4uhcz08hkmmmqmld7r5yg4pgc8k2a24ge5,2,2,0,2
207,terra149h2na988cka05rwcpmnqfse64r6vspmfmkk0z,2,0,0,2
208,terra1zrcmjmwfwdp4e8leasjavlhyaj5rrn86lcjqeg,0,0,0,2
209,terra1wqfxpzm508ejuv5a20zv4xa4pqzz48k3guujhp,2,0,0,2
210,terra10ep3rpmjjhumzeglgxfd9zs5cmt5awxhyjsrte,0,0,0,2
211,terra18nx8mdtre800zs2qfww64xx4003n0aum60s7jr,0,0,0,2
212,terra1tna52pya6rltrer3nsrxvqnlhejgjdv40ryqum,2,2,0,2
